"STATION","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00014822","2016-01-01","13.20","0.00",,"30","25"
"USW00014822","2016-01-02","12.53","0.00",,"36","27"
"USW00014822","2016-01-03","9.62","0.00",,"34","25"
"USW00014822","2016-01-04","9.17","0.00",,"25","15"
"USW00014822","2016-01-05","5.59","0.00",,"28","10"
"USW00014822","2016-01-06","6.93","0.00",,"37","19"
"USW00014822","2016-01-07","3.36","0.00",,"43","26"
"USW00014822","2016-01-08","3.80","0.13",,"40","27"
"USW00014822","2016-01-09","8.05","0.06",,"50","40"
"USW00014822","2016-01-10","13.87","0.37",,"43","18"
"USW00014822","2016-01-11","11.86","0.00",,"19","10"
"USW00014822","2016-01-12","14.54","0.02",,"27","15"
"USW00014822","2016-01-13","12.53","0.00",,"17","12"
"USW00014822","2016-01-14","5.14","0.00",,"33","17"
"USW00014822","2016-01-15","9.17","0.23",,"41","22"
"USW00014822","2016-01-16","10.74","0.00",,"38","29"
"USW00014822","2016-01-17","12.53","0.00",,"30","11"
"USW00014822","2016-01-18","13.42","0.00",,"18","9"
"USW00014822","2016-01-19","7.61","0.00",,"22","9"
"USW00014822","2016-01-20","4.25","0.00",,"21","12"
"USW00014822","2016-01-21","4.47","0.00",,"26","14"
"USW00014822","2016-01-22","7.83","0.00",,"28","20"
"USW00014822","2016-01-23","8.28","0.00",,"32","19"
"USW00014822","2016-01-24","8.95","0.00",,"36","18"
"USW00014822","2016-01-25","11.18","0.00",,"42","27"
"USW00014822","2016-01-26","15.21","0.00",,"46","32"
"USW00014822","2016-01-27","12.53","0.00",,"34","27"
"USW00014822","2016-01-28","14.32","0.00",,"38","28"
"USW00014822","2016-01-29","8.95","0.00",,"31","22"
"USW00014822","2016-01-30","10.74","0.00",,"49","28"
"USW00014822","2016-01-31","9.40","0.14",,"53","34"
"USW00014822","2016-02-01","6.71","0.00",,"46","30"
"USW00014822","2016-02-02","9.84","0.45",,"41","25"
"USW00014822","2016-02-03","16.55","0.00",,"56","36"
"USW00014822","2016-02-04","7.38","0.03",,"36","27"
"USW00014822","2016-02-05","6.71","0.00",,"38","19"
"USW00014822","2016-02-06","10.07","0.00",,"39","25"
"USW00014822","2016-02-07","9.84","0.00",,"48","30"
"USW00014822","2016-02-08","5.59","0.00",,"44","35"
"USW00014822","2016-02-09","10.29","0.04",,"35","25"
"USW00014822","2016-02-10","9.17","0.00",,"25","12"
"USW00014822","2016-02-11","7.61","0.00",,"21","10"
"USW00014822","2016-02-12","11.86","0.00",,"25","9"
"USW00014822","2016-02-13","7.83","0.00",,"16","3"
"USW00014822","2016-02-14","6.71","0.00",,"19","1"
"USW00014822","2016-02-15","6.93","0.00",,"29","17"
"USW00014822","2016-02-16","5.82","0.00",,"30","28"
"USW00014822","2016-02-17","6.26","0.01",,"33","17"
"USW00014822","2016-02-18","6.93","0.00",,"31","11"
"USW00014822","2016-02-19","19.24","0.00",,"60","31"
"USW00014822","2016-02-20","13.87","0.00",,"62","41"
"USW00014822","2016-02-21","6.71","0.00",,"44","28"
"USW00014822","2016-02-22","6.71","0.00",,"35","26"
"USW00014822","2016-02-23","7.61","0.00",,"42","22"
"USW00014822","2016-02-24","14.09","1.07",,"34","31"
"USW00014822","2016-02-25","13.65","0.07",,"35","25"
"USW00014822","2016-02-26","7.61","0.00",,"33","23"
"USW00014822","2016-02-27","15.43","0.00",,"43","28"
"USW00014822","2016-02-28","18.57","0.08",,"64","39"
"USW00014822","2016-02-29","15.88","0.15",,"53","26"
"USW00014822","2016-03-01","12.97","0.28",,"30","22"
"USW00014822","2016-03-02","7.83","0.00",,"27","18"
"USW00014822","2016-03-03","4.25","0.04",,"29","17"
"USW00014822","2016-03-04","5.59","0.00",,"35","24"
"USW00014822","2016-03-05","5.14","0.06",,"31","27"
"USW00014822","2016-03-06","7.16","0.00",,"37","20"
"USW00014822","2016-03-07","10.74","0.00",,"64","36"
"USW00014822","2016-03-08","9.62","0.00",,"70","49"
"USW00014822","2016-03-09","11.41","0.01",,"69","52"
"USW00014822","2016-03-10","5.59","0.05",,"59","40"
"USW00014822","2016-03-11","5.37","0.00",,"46","33"
"USW00014822","2016-03-12","3.13","0.00",,"59","29"
"USW00014822","2016-03-13","8.50","0.88",,"48","42"
"USW00014822","2016-03-14","6.71","0.01",,"62","42"
"USW00014822","2016-03-15","7.16","0.00",,"51","42"
"USW00014822","2016-03-16","19.01","0.14",,"60","42"
"USW00014822","2016-03-17","15.66","0.00",,"56","38"
"USW00014822","2016-03-18","7.61","0.00",,"48","29"
"USW00014822","2016-03-19","9.62","0.00",,"40","25"
"USW00014822","2016-03-20","5.37","0.00",,"44","27"
"USW00014822","2016-03-21","6.93","0.00",,"45","29"
"USW00014822","2016-03-22","8.95","0.00",,"61","32"
"USW00014822","2016-03-23","10.51","0.00",,"55","37"
"USW00014822","2016-03-24","10.07","1.43",,"55","36"
"USW00014822","2016-03-25","8.50","0.00",,"43","29"
"USW00014822","2016-03-26","4.25","0.00",,"43","27"
"USW00014822","2016-03-27","6.04","0.79",,"64","31"
"USW00014822","2016-03-28","11.41","0.22",,"49","41"
"USW00014822","2016-03-29","7.16","0.00",,"48","33"
"USW00014822","2016-03-30","10.07","0.02",,"61","32"
"USW00014822","2016-03-31","16.11","0.63",,"64","53"
"USW00014822","2016-04-01","10.74","0.00",,"54","42"
"USW00014822","2016-04-02","10.51","0.10",,"44","27"
"USW00014822","2016-04-03","10.07","0.01",,"44","22"
"USW00014822","2016-04-04","13.42","0.01",,"37","23"
"USW00014822","2016-04-05","6.93","0.00",,"38","20"
"USW00014822","2016-04-06","10.51","0.10",,"54","30"
"USW00014822","2016-04-07","9.40","0.08",,"47","31"
"USW00014822","2016-04-08","9.62","0.00",,"44","28"
"USW00014822","2016-04-09","11.18","0.00",,"33","24"
"USW00014822","2016-04-10","9.84","0.32",,"45","24"
"USW00014822","2016-04-11","11.41","0.01",,"60","38"
"USW00014822","2016-04-12","7.61","0.00",,"49","32"
"USW00014822","2016-04-13","5.82","0.00",,"48","33"
"USW00014822","2016-04-14","6.04","0.00",,"55","32"
"USW00014822","2016-04-15","7.38","0.00",,"66","33"
"USW00014822","2016-04-16","5.14","0.00",,"71","42"
"USW00014822","2016-04-17","2.91","0.00",,"74","43"
"USW00014822","2016-04-18","5.14","0.00",,"79","46"
"USW00014822","2016-04-19","10.51","0.00",,"61","43"
"USW00014822","2016-04-20","8.72","0.00",,"63","39"
"USW00014822","2016-04-21","7.38","0.19",,"62","48"
"USW00014822","2016-04-22","9.40","0.00",,"62","40"
"USW00014822","2016-04-23","9.62","0.00",,"57","37"
"USW00014822","2016-04-24","5.37","0.00",,"63","35"
"USW00014822","2016-04-25","8.50","0.20",,"67","45"
"USW00014822","2016-04-26","9.17","0.22",,"51","42"
"USW00014822","2016-04-27","10.07","0.00",,"58","36"
"USW00014822","2016-04-28","8.95","0.04",,"49","40"
"USW00014822","2016-04-29","5.82","0.04",,"52","41"
"USW00014822","2016-04-30","8.05","0.49",,"53","39"
"USW00014822","2016-05-01","8.50","0.09",,"55","47"
"USW00014822","2016-05-02","4.70","0.31",,"54","45"
"USW00014822","2016-05-03","5.82","0.00",,"63","40"
"USW00014822","2016-05-04","7.61","0.35",,"60","49"
"USW00014822","2016-05-05","11.86","0.00",,"67","43"
"USW00014822","2016-05-06","4.92","0.00",,"72","44"
"USW00014822","2016-05-07","7.61","0.00",,"73","49"
"USW00014822","2016-05-08","7.38","0.00",,"68","42"
"USW00014822","2016-05-09","4.92","0.00",,"61","40"
"USW00014822","2016-05-10","10.51","0.04",,"54","47"
"USW00014822","2016-05-11","6.26","0.00",,"69","51"
"USW00014822","2016-05-12","7.16","0.51",,"77","52"
"USW00014822","2016-05-13","9.84","0.02",,"69","56"
"USW00014822","2016-05-14","10.96","0.31",,"57","41"
"USW00014822","2016-05-15","10.29","0.01",,"48","34"
"USW00014822","2016-05-16","12.08","0.00",,"67","39"
"USW00014822","2016-05-17","6.71","0.00",,"62","48"
"USW00014822","2016-05-18","7.38","0.00",,"64","43"
"USW00014822","2016-05-19","3.58","0.00",,"68","43"
"USW00014822","2016-05-20","4.92","0.00",,"69","46"
"USW00014822","2016-05-21","6.26","0.00",,"73","53"
"USW00014822","2016-05-22","8.05","0.00",,"72","50"
"USW00014822","2016-05-23","4.47","0.00",,"76","43"
"USW00014822","2016-05-24","6.49","0.00",,"84","51"
"USW00014822","2016-05-25","10.07","0.00",,"85","64"
"USW00014822","2016-05-26","10.07","0.00",,"85","69"
"USW00014822","2016-05-27","7.16","0.00",,"84","68"
"USW00014822","2016-05-28","8.28","0.00",,"88","67"
"USW00014822","2016-05-29","9.40","0.14",,"86","69"
"USW00014822","2016-05-30","5.37","0.00",,"85","64"
"USW00014822","2016-05-31","7.61","0.00",,"81","58"
"USW00014822","2016-06-01","7.38","0.08",,"81","56"
"USW00014822","2016-06-02","6.93","0.00",,"83","63"
"USW00014822","2016-06-03","4.47","0.00",,"79","57"
"USW00014822","2016-06-04","6.04","0.78",,"80","61"
"USW00014822","2016-06-05","11.41","0.15",,"75","63"
"USW00014822","2016-06-06","10.96","0.00",,"81","60"
"USW00014822","2016-06-07","9.40","0.00",,"68","55"
"USW00014822","2016-06-08","10.51","0.00",,"70","49"
"USW00014822","2016-06-09","4.03","0.00",,"74","51"
"USW00014822","2016-06-10","7.16","0.00",,"82","60"
"USW00014822","2016-06-11","12.30","0.00",,"93","70"
"USW00014822","2016-06-12","10.74","0.00",,"80","57"
"USW00014822","2016-06-13","5.14","0.00",,"72","51"
"USW00014822","2016-06-14","8.28","0.00",,"73","60"
"USW00014822","2016-06-15","7.38","0.00",,"84","63"
"USW00014822","2016-06-16","6.93","0.10",,"76","63"
"USW00014822","2016-06-17","7.38","0.00",,"86","60"
"USW00014822","2016-06-18","4.92","0.00",,"87","60"
"USW00014822","2016-06-19","6.04","0.00",,"89","64"
"USW00014822","2016-06-20","13.20","0.00",,"91","69"
"USW00014822","2016-06-21","7.38","0.00",,"84","59"
"USW00014822","2016-06-22","6.93","0.00",,"80","64"
"USW00014822","2016-06-23","6.71","0.00",,"78","60"
"USW00014822","2016-06-24","4.03","0.00",,"82","56"
"USW00014822","2016-06-25","4.03","0.00",,"86","57"
"USW00014822","2016-06-26","9.17","0.00",,"91","68"
"USW00014822","2016-06-27","9.84","0.00",,"93","66"
"USW00014822","2016-06-28","7.83","0.00",,"72","60"
"USW00014822","2016-06-29","4.92","0.00",,"81","54"
"USW00014822","2016-06-30","6.04","0.00",,"83","59"
"USW00014822","2016-07-01","8.28","0.31",,"77","61"
"USW00014822","2016-07-02","5.82","0.00",,"79","56"
"USW00014822","2016-07-03","3.80","0.00",,"80","59"
"USW00014822","2016-07-04","6.04","0.00",,"80","57"
"USW00014822","2016-07-05","7.61","0.00",,"89","70"
"USW00014822","2016-07-06","7.16","0.50",,"89","71"
"USW00014822","2016-07-07","5.82","0.09",,"88","71"
"USW00014822","2016-07-08","6.71","2.91",,"88","67"
"USW00014822","2016-07-09","7.61","0.00",,"78","67"
"USW00014822","2016-07-10","5.82","0.00",,"82","63"
"USW00014822","2016-07-11","5.37","0.00",,"86","69"
"USW00014822","2016-07-12","9.40","0.13",,"90","72"
"USW00014822","2016-07-13","9.17","0.08",,"90","72"
"USW00014822","2016-07-14","11.63","0.06",,"88","71"
"USW00014822","2016-07-15","9.17","0.00",,"80","67"
"USW00014822","2016-07-16","4.92","0.00",,"73","63"
"USW00014822","2016-07-17","10.51","0.00",,"85","62"
"USW00014822","2016-07-18","9.62","0.05",,"87","67"
"USW00014822","2016-07-19","5.82","0.00",,"81","62"
"USW00014822","2016-07-20","4.03","0.00",,"86","59"
"USW00014822","2016-07-21","9.62","0.11",,"91","71"
"USW00014822","2016-07-22","8.28","0.00",,"94","74"
"USW00014822","2016-07-23","6.04","0.00",,"94","73"
"USW00014822","2016-07-24","6.71","0.12",,"85","74"
"USW00014822","2016-07-25","9.17","0.05",,"91","75"
"USW00014822","2016-07-26","4.47","0.00",,"85","66"
"USW00014822","2016-07-27","6.26","0.00",,"91","69"
"USW00014822","2016-07-28","6.71","0.00",,"85","69"
"USW00014822","2016-07-29","8.05","0.02",,"82","69"
"USW00014822","2016-07-30","7.16","0.37",,"79","67"
"USW00014822","2016-07-31","5.82","0.12",,"85","66"
"USW00014822","2016-08-01","5.14","0.00",,"84","66"
"USW00014822","2016-08-02","6.04","0.00",,"86","67"
"USW00014822","2016-08-03","4.70","0.00",,"89","67"
"USW00014822","2016-08-04","5.82","0.00",,"91","67"
"USW00014822","2016-08-05","9.62","0.03",,"90","75"
"USW00014822","2016-08-06","4.03","0.00",,"84","68"
"USW00014822","2016-08-07","6.71","0.00",,"84","67"
"USW00014822","2016-08-08","6.04","0.00",,"83","61"
"USW00014822","2016-08-09","4.70","0.00",,"87","65"
"USW00014822","2016-08-10","3.80","0.00",,"95","71"
"USW00014822","2016-08-11","8.28","0.37",,"92","77"
"USW00014822","2016-08-12","9.84","0.01",,"94","76"
"USW00014822","2016-08-13","9.40","1.38",,"86","74"
"USW00014822","2016-08-14","4.70","0.00",,"83","70"
"USW00014822","2016-08-15","4.03","0.13",,"80","69"
"USW00014822","2016-08-16","8.50","2.65",,"81","69"
"USW00014822","2016-08-17","4.92","0.53",,"85","67"
"USW00014822","2016-08-18","4.92","0.00",,"84","67"
"USW00014822","2016-08-19","6.71","0.00",,"87","70"
"USW00014822","2016-08-20","10.51","1.38",,"85","70"
"USW00014822","2016-08-21","9.40","0.09",,"78","63"
"USW00014822","2016-08-22","2.68","0.00",,"78","58"
"USW00014822","2016-08-23","6.71","0.00",,"81","60"
"USW00014822","2016-08-24","9.62","0.35",,"83","65"
"USW00014822","2016-08-25","7.83","0.00",,"86","73"
"USW00014822","2016-08-26","3.58","0.00",,"86","66"
"USW00014822","2016-08-27","6.26","1.01",,"84","71"
"USW00014822","2016-08-28","4.70","0.00",,"86","70"
"USW00014822","2016-08-29","4.03","0.00",,"82","66"
"USW00014822","2016-08-30","4.25","0.00",,"82","67"
"USW00014822","2016-08-31","6.26","0.00",,"81","63"
"USW00014822","2016-09-01","9.17","0.00",,"74","61"
"USW00014822","2016-09-02","8.28","0.00",,"74","57"
"USW00014822","2016-09-03","4.70","0.00",,"75","55"
"USW00014822","2016-09-04","4.25","0.00",,"79","57"
"USW00014822","2016-09-05","5.14","0.00",,"84","59"
"USW00014822","2016-09-06","7.61","0.00",,"91","71"
"USW00014822","2016-09-07","6.71","0.09",,"91","76"
"USW00014822","2016-09-08","10.07","0.05",,"81","73"
"USW00014822","2016-09-09","4.92","0.00",,"81","65"
"USW00014822","2016-09-10","9.84","1.21",,"79","63"
"USW00014822","2016-09-11","4.25","0.00",,"74","56"
"USW00014822","2016-09-12","4.25","0.00",,"75","54"
"USW00014822","2016-09-13","7.38","0.00",,"82","57"
"USW00014822","2016-09-14","8.28","0.08",,"75","57"
"USW00014822","2016-09-15","5.14","0.00",,"73","53"
"USW00014822","2016-09-16","4.92","0.00",,"78","54"
"USW00014822","2016-09-17","8.05","0.22",,"74","67"
"USW00014822","2016-09-18","4.92","0.00",,"80","64"
"USW00014822","2016-09-19","3.36","0.00",,"83","58"
"USW00014822","2016-09-20","3.13","0.00",,"82","63"
"USW00014822","2016-09-21","2.46","0.00",,"81","57"
"USW00014822","2016-09-22","4.47","0.00",,"86","64"
"USW00014822","2016-09-23","6.93","0.00",,"77","62"
"USW00014822","2016-09-24","6.49","0.00",,"69","55"
"USW00014822","2016-09-25","6.93","0.00",,"71","51"
"USW00014822","2016-09-26","8.72","0.27",,"68","56"
"USW00014822","2016-09-27","9.62","0.00",,"69","52"
"USW00014822","2016-09-28","4.70","0.81",,"61","54"
"USW00014822","2016-09-29","10.96","4.07",,"65","57"
"USW00014822","2016-09-30","10.74","0.74",,"61","57"
"USW00014822","2016-10-01","6.26","0.76",,"69","54"
"USW00014822","2016-10-02","2.01","0.01",,"69","52"
"USW00014822","2016-10-03","2.46","0.00",,"67","52"
"USW00014822","2016-10-04","6.04","0.00",,"72","53"
"USW00014822","2016-10-05","9.17","0.00",,"76","60"
"USW00014822","2016-10-06","5.82","0.00",,"79","61"
"USW00014822","2016-10-07","6.26","0.00",,"79","59"
"USW00014822","2016-10-08","9.40","0.00",,"61","46"
"USW00014822","2016-10-09","5.82","0.00",,"61","41"
"USW00014822","2016-10-10","3.58","0.00",,"60","39"
"USW00014822","2016-10-11","5.14","0.00",,"66","47"
"USW00014822","2016-10-12","10.51","0.16",,"76","51"
"USW00014822","2016-10-13","6.26","0.00",,"57","43"
"USW00014822","2016-10-14","4.03","0.00",,"61","38"
"USW00014822","2016-10-15","8.50","0.00",,"71","44"
"USW00014822","2016-10-16","9.17","0.13",,"69","64"
"USW00014822","2016-10-17","10.51","0.00",,"80","64"
"USW00014822","2016-10-18","14.76","0.00",,"76","60"
"USW00014822","2016-10-19","2.46","0.02",,"71","50"
"USW00014822","2016-10-20","6.93","0.69",,"60","49"
"USW00014822","2016-10-21","11.41","0.23",,"53","42"
"USW00014822","2016-10-22","8.72","0.00",,"52","39"
"USW00014822","2016-10-23","6.93","0.00",,"63","45"
"USW00014822","2016-10-24","8.50","0.00",,"54","43"
"USW00014822","2016-10-25","4.92","0.00",,"54","37"
"USW00014822","2016-10-26","8.50","0.12",,"43","34"
"USW00014822","2016-10-27","8.05","0.12",,"48","38"
"USW00014822","2016-10-28","6.71","0.00",,"54","32"
"USW00014822","2016-10-29","11.41","0.00",,"71","54"
"USW00014822","2016-10-30","7.38","0.02",,"55","39"
"USW00014822","2016-10-31","4.92","0.00",,"52","34"
"USW00014822","2016-11-01","7.83","0.00",,"75","45"
"USW00014822","2016-11-02","2.68","0.02",,"65","56"
"USW00014822","2016-11-03","6.26","0.02",,"60","50"
"USW00014822","2016-11-04","6.26","0.00",,"56","44"
"USW00014822","2016-11-05","6.71","0.00",,"67","42"
"USW00014822","2016-11-06","2.01","0.00",,"63","40"
"USW00014822","2016-11-07","2.46","0.00",,"65","39"
"USW00014822","2016-11-08","4.70","0.00",,"59","42"
"USW00014822","2016-11-09","8.72","0.02",,"52","38"
"USW00014822","2016-11-10","11.63","0.00",,"63","39"
"USW00014822","2016-11-11","9.62","0.00",,"54","32"
"USW00014822","2016-11-12","6.93","0.00",,"49","28"
"USW00014822","2016-11-13","11.41","0.00",,"57","34"
"USW00014822","2016-11-14","7.83","0.00",,"58","34"
"USW00014822","2016-11-15","3.58","0.00",,"57","37"
"USW00014822","2016-11-16","3.80","0.00",,"59","39"
"USW00014822","2016-11-17","7.16","0.00",,"60","36"
"USW00014822","2016-11-18","10.29","0.03",,"71","52"
"USW00014822","2016-11-19","15.21","0.04",,"62","32"
"USW00014822","2016-11-20","14.32","0.00",,"35","27"
"USW00014822","2016-11-21","10.74","0.00",,"38","26"
"USW00014822","2016-11-22","3.80","0.00",,"40","23"
"USW00014822","2016-11-23","6.93","0.24",,"40","24"
"USW00014822","2016-11-24","6.93","0.04",,"46","39"
"USW00014822","2016-11-25","7.61","0.02",,"43","39"
"USW00014822","2016-11-26","8.50","0.00",,"42","37"
"USW00014822","2016-11-27","6.71","0.00",,"46","30"
"USW00014822","2016-11-28","11.18","0.33",,"48","35"
"USW00014822","2016-11-29","11.63","0.09",,"57","48"
"USW00014822","2016-11-30","8.05","0.00",,"57","42"
"USW00014822","2016-12-01","14.09","0.01",,"42","35"
"USW00014822","2016-12-02","10.07","0.01",,"42","35"
"USW00014822","2016-12-03","6.71","0.00",,"39","34"
"USW00014822","2016-12-04","4.92","0.12",,"39","33"
"USW00014822","2016-12-05","8.05","0.00",,"42","28"
"USW00014822","2016-12-06","6.93","0.16",,"41","27"
"USW00014822","2016-12-07","12.75","0.00",,"37","30"
"USW00014822","2016-12-08","13.42","0.00",,"31","26"
"USW00014822","2016-12-09","9.62","0.00",,"33","25"
"USW00014822","2016-12-10","9.62","0.00",,"28","23"
"USW00014822","2016-12-11","9.17","0.26",,"32","23"
"USW00014822","2016-12-12","10.74","0.00",,"35","26"
"USW00014822","2016-12-13","9.84","0.00",,"27","14"
"USW00014822","2016-12-14","12.30","0.00",,"19","10"
"USW00014822","2016-12-15","12.53","0.00",,"17","6"
"USW00014822","2016-12-16","8.28","0.03",,"20","5"
"USW00014822","2016-12-17","5.37","0.01",,"28","19"
"USW00014822","2016-12-18","8.05","0.02",,"24","11"
"USW00014822","2016-12-19","8.95","0.00",,"16","5"
"USW00014822","2016-12-20","15.21","0.00",,"30","10"
"USW00014822","2016-12-21","8.95","0.00",,"33","20"
"USW00014822","2016-12-22","9.17","0.00",,"41","30"
"USW00014822","2016-12-23","8.05","0.04",,"34","25"
"USW00014822","2016-12-24","6.04","0.03",,"38","34"
"USW00014822","2016-12-25","6.71","0.00",,"35","34"
"USW00014822","2016-12-26","13.42","0.41",,"56","34"
"USW00014822","2016-12-27","11.63","0.00",,"43","29"
"USW00014822","2016-12-28","8.50","0.01",,"37","29"
"USW00014822","2016-12-29","12.75","0.03",,"42","31"
"USW00014822","2016-12-30","11.18","0.00",,"31","29"
"USW00014822","2016-12-31","15.88","0.00",,"46","29"
